,Club,Country,Level,Elo
3,Man City,ENG,1,1917.81616211
5,Man United,ENG,1,1913.16894531
7,Chelsea,ENG,1,1851.68713379
9,Arsenal,ENG,1,1826.90942383
15,Tottenham,ENG,1,1796.20385742
18,Everton,ENG,1,1777.80273438
29,Newcastle,ENG,1,1746.84936523
30,Liverpool,ENG,1,1742.18920898
44,Fulham,ENG,1,1711.97363281
66,West Brom,ENG,1,1676.95251465
70,Sunderland,ENG,1,1668.60009766
72,Wigan,ENG,1,1666.11987305
75,Aston Villa,ENG,1,1657.62158203
76,Stoke,ENG,1,1657.29638672
83,Swansea,ENG,1,1650.16052246
91,West Ham,ENG,1,1639.59619141
95,Reading,ENG,1,1628.41381836
100,Norwich,ENG,1,1625.82592773
115,QPR,ENG,1,1600.13977051
153,Southampton,ENG,1,1559.17553711
