,Rank,Club,Country,Level,Elo
2,3,Chelsea,ENG,1,1940.9510498
4,5,Arsenal,ENG,1,1894.44238281
8,9,Man United,ENG,1,1881.11254883
9,10,Liverpool,ENG,1,1864.28198242
22,23,Tottenham,ENG,1,1760.52185059
26,27,Newcastle,ENG,1,1750.85705566
27,28,Blackburn,ENG,1,1748.34692383
36,37,Bolton,ENG,1,1727.86791992
42,43,Middlesbrough,ENG,1,1719.82128906
62,63,Fulham,ENG,1,1680.68579102
63,64,Everton,ENG,1,1677.62902832
68,69,Reading,ENG,1,1671.06726074
75,76,Man City,ENG,1,1663.19689941
78,79,Aston Villa,ENG,1,1661.11169434
84,85,West Ham,ENG,1,1655.12280273
85,86,Charlton,ENG,1,1653.61364746
92,93,Wigan,ENG,1,1642.17321777
93,94,Portsmouth,ENG,1,1636.95153809
139,None,Watford,ENG,1,1580.59521484
155,None,Sheffield United,ENG,1,1569.50878906
