,Rank,Club,Country,Level,Elo
8,9,Man United,ENG,1,1833.14416504
13,14,Blackburn,ENG,1,1792.70056152
20,21,Leeds,ENG,1,1767.42980957
28,29,Forest,ENG,1,1741.99658203
35,36,Liverpool,ENG,1,1725.23510742
36,37,Newcastle,ENG,1,1721.80273438
47,48,QPR,ENG,1,1693.06384277
48,49,Arsenal,ENG,1,1692.87841797
55,56,Tottenham,ENG,1,1675.56811523
64,65,Southampton,ENG,1,1656.98046875
66,67,Wimbledon,ENG,1,1655.70263672
69,70,West Ham,ENG,1,1651.77124023
71,72,Chelsea,ENG,1,1648.65454102
74,75,Sheffield Weds,ENG,1,1647.94995117
79,80,Everton,ENG,1,1639.57824707
84,85,Coventry,ENG,1,1633.31542969
86,87,Aston Villa,ENG,1,1627.2611084
90,91,Man City,ENG,1,1621.50085449
138,None,Middlesbrough,ENG,1,1561.17492676
161,None,Bolton,ENG,1,1536.58666992
