,Rank,Club,Country,Level,Elo
3,4,Real Madrid,ESP,1,1938.07788086
6,7,Barcelona,ESP,1,1913.69177246
8,9,Atletico,ESP,1,1895.42712402
12,13,Sevilla,ESP,1,1847.52929688
16,17,Villarreal,ESP,1,1823.54174805
27,28,Sociedad,ESP,1,1761.44580078
32,33,Betis,ESP,1,1740.60021973
42,43,Celta,ESP,1,1721.60791016
45,46,Bilbao,ESP,1,1709.68444824
49,50,Valencia,ESP,1,1701.11633301
59,60,Osasuna,ESP,1,1685.16015625
63,64,Granada,ESP,1,1674.59533691
67,68,Getafe,ESP,1,1669.05395508
68,69,Levante,ESP,1,1664.71276855
73,74,Espanyol,ESP,1,1648.59558105
77,78,Alaves,ESP,1,1633.82214355
79,80,Mallorca,ESP,1,1629.65905762
88,89,Cadiz,ESP,1,1611.36071777
98,99,Rayo Vallecano,ESP,1,1599.37963867
102,None,Elche,ESP,1,1594.79760742
