,Rank,Club,Country,Level,Elo
0,1,Real Madrid,ESP,1,2077.10205078
1,2,Barcelona,ESP,1,2062.78027344
3,4,Atletico,ESP,1,2003.70068359
8,9,Bilbao,ESP,1,1846.97961426
11,12,Sevilla,ESP,1,1823.40673828
13,14,Villarreal,ESP,1,1810.8782959
21,22,Celta,ESP,1,1786.20581055
26,27,Valencia,ESP,1,1762.06274414
27,28,Sociedad,ESP,1,1761.91564941
28,29,Malaga,ESP,1,1755.95996094
37,38,Betis,ESP,1,1714.3840332
39,40,Las Palmas,ESP,1,1707.25109863
44,45,Espanyol,ESP,1,1699.39038086
48,49,Gijon,ESP,1,1696.05493164
49,50,Depor,ESP,1,1695.8236084
51,52,Granada,ESP,1,1691.3659668
61,62,Eibar,ESP,1,1666.54638672
77,78,Leganes,ESP,1,1647.66015625
86,87,Osasuna,ESP,1,1633.47143555
89,90,Alaves,ESP,1,1628.29541016
