,Club,Country,Level,Elo
2,Bayern,GER,1,1862.20959473
11,Leverkusen,GER,1,1808.03125
13,Lautern,GER,1,1803.16870117
15,Dortmund,GER,1,1784.84094238
19,Stuttgart,GER,1,1764.07971191
21,Schalke,GER,1,1755.95739746
29,Werder,GER,1,1742.38464355
30,Rostock,GER,1,1739.65466309
39,Bochum,GER,1,1714.60229492
41,Hamburg,GER,1,1713.02905273
42,Duisburg,GER,1,1712.31176758
47,Gladbach,GER,1,1705.7142334
53,Muenchen 60,GER,1,1693.32922363
84,Hertha,GER,1,1646.87207031
85,Freiburg,GER,1,1646.6998291
95,Wolfsburg,GER,1,1633.39001465
97,Frankfurt,GER,1,1632.08447266
132,Nuernberg,GER,1,1581.00061035
