Rank,Club,Country,Level,Elo,From,To
1,Lazio,ITA,1,1912.4855957,1999-05-24,1999-08-11
2,Man United,ENG,1,1890.83483887,1999-05-27,1999-08-08
3,Bayern,GER,1,1889.12341309,1999-05-30,1999-08-08
4,Milan,ITA,1,1881.22106934,1999-06-21,1999-08-11
5,Parma,ITA,1,1877.98669434,1999-06-21,1999-08-11
6,Barcelona,ESP,1,1871.51257324,1999-06-21,1999-08-11
7,Juventus,ITA,1,1857.54785156,1999-05-24,1999-08-11
8,Arsenal,ENG,1,1837.11804199,1999-05-27,1999-08-07
9,Roma,ITA,1,1828.88415527,1999-05-24,1999-08-11
10,Fiorentina,ITA,1,1816.10473633,1999-05-27,1999-08-11
11,Marseille,FRA,1,1809.77392578,1999-08-01,1999-08-05
12,Udinese,ITA,1,1808.50964355,1999-08-01,1999-08-05
13,Bordeaux,FRA,1,1808.04968262,1999-08-01,1999-08-05
14,Leverkusen,GER,1,1805.77502441,1999-06-13,1999-08-10
15,Real Madrid,ESP,1,1804.66833496,1999-07-31,1999-08-10
16,Inter,ITA,1,1798.76513672,1999-07-31,1999-08-11
17,Monaco,FRA,1,1797.93029785,1999-07-31,1999-08-06
18,Valencia,ESP,1,1787.46606445,1999-06-21,1999-08-07
19,Chelsea,ENG,1,1786.4979248,1999-06-21,1999-08-07
20,Espanyol,ESP,1,1781.73486328,1999-08-01,1999-08-11
21,Celta,ESP,1,1780.50109863,1999-08-01,1999-08-11
22,Mallorca,ESP,1,1779.2121582,1999-08-01,1999-08-11
23,Bilbao,ESP,1,1771.65979004,1999-08-01,1999-08-05
24,Lyon,FRA,1,1768.63964844,1999-08-01,1999-08-05
25,Depor,ESP,1,1768.33398438,1999-06-21,1999-08-10
26,Hertha,GER,1,1761.3494873,1999-05-30,1999-08-10
27,Bologna,ITA,1,1761.00012207,1999-05-30,1999-08-10
28,Dortmund,GER,1,1760.4486084,1999-05-30,1999-08-10
29,Sociedad,ESP,1,1752.65148926,1999-06-26,1999-08-11
30,Leeds,ENG,1,1752.13891602,1999-06-26,1999-08-07
31,Dynamo Kyiv,UKR,1,1744.20458984,1999-07-29,1999-08-04
32,Olympiakos,GRE,1,1741.80053711,1999-07-25,1999-08-11
33,Zaragoza,ESP,1,1739.69812012,1999-07-21,1999-08-11
34,Lautern,GER,1,1734.84338379,1999-07-08,1999-08-11
35,Atletico,ESP,1,1734.00805664,1999-07-08,1999-08-11
36,Piacenza,ITA,1,1733.85681152,1999-07-08,1999-08-11
37,Porto,POR,1,1733.53894043,1999-07-08,1999-08-11
38,Sampdoria,ITA,2,1726.97119141,1999-07-08,1999-08-08
39,Spartak Moskva,RUS,1,1716.04602051,1999-08-01,1999-08-04
40,Cagliari,ITA,1,1716.00305176,1999-08-01,1999-08-06
41,Dinamo Zagreb,CRO,1,1714.27124023,1999-08-01,1999-08-04
42,Lens,FRA,1,1713.19995117,1999-08-01,1999-08-04
43,Bari,ITA,1,1712.00585938,1999-07-29,1999-08-04
44,Liverpool,ENG,1,1711.82995605,1999-07-29,1999-08-04
45,Duisburg,GER,1,1710.31896973,1999-07-08,1999-08-04
46,Rosenborg,NOR,1,1708.80810547,1999-07-31,1999-08-04
47,Hamburg,GER,1,1706.92712402,1999-07-22,1999-08-04
48,Rennes,FRA,1,1704.3392334,1999-08-01,1999-08-04
49,Salernitana,ITA,2,1701.53674316,1999-07-12,1999-08-04
50,Nantes,FRA,1,1698.71508789,1999-08-01,1999-08-04
51,Sunderland,ENG,1,1694.51977539,1999-08-01,1999-08-07
52,Venezia,ITA,1,1693.00842285,1999-06-21,1999-08-07
53,Valladolid,ESP,1,1691.49267578,1999-06-21,1999-08-07
54,Betis,ESP,1,1688.30712891,1999-06-21,1999-08-07
55,Wolfsburg,GER,1,1686.57861328,1999-06-20,1999-08-10
56,Rostock,GER,1,1684.99316406,1999-06-20,1999-08-07
57,Metz,FRA,1,1680.63574219,1999-08-01,1999-08-07
58,Stuttgart,GER,1,1677.20739746,1999-05-30,1999-08-07
59,Feyenoord,NED,1,1676.30615234,1999-05-30,1999-08-07
60,Perugia,ITA,1,1676.03198242,1999-05-30,1999-08-07
61,Montpellier,FRA,1,1674.5838623,1999-08-01,1999-08-07
62,Atalanta,ITA,2,1672.2947998,1999-08-01,1999-08-07
63,Schalke,GER,1,1671.45837402,1999-08-01,1999-08-07
64,Werder,GER,1,1667.97570801,1999-08-01,1999-08-04
65,Vicenza,ITA,2,1667.38867188,1999-08-01,1999-08-04
66,Auxerre,FRA,1,1664.25366211,1999-08-01,1999-08-04
67,Paris SG,FRA,1,1663.09887695,1999-08-01,1999-08-04
68,Ajax,NED,1,1662.34887695,1999-08-01,1999-08-04
69,Aston Villa,ENG,1,1659.31005859,1999-07-29,1999-08-04
70,Strasbourg,FRA,1,1658.43286133,1999-08-01,1999-08-04
71,Galatasaray,TUR,1,1658.015625,1999-08-01,1999-08-04
72,PSV,NED,1,1656.5177002,1999-08-01,1999-08-06
73,West Ham,ENG,1,1654.88476562,1999-08-01,1999-08-03
74,Partizan,SCG,1,1654.38891602,1999-08-01,1999-08-03
75,Sturm Graz,AUT,1,1654.08105469,1999-08-01,1999-08-03
76,Bielefeld,GER,1,1653.97900391,1999-08-01,1999-08-06
77,Torino,ITA,1,1651.78540039,1999-08-01,1999-08-06
78,Leicester,ENG,1,1644.92199707,1999-07-31,1999-08-07
79,Bastia,FRA,1,1644.83642578,1999-07-31,1999-08-06
80,Panathinaikos,GRE,1,1644.82788086,1999-07-29,1999-08-06
81,Santander,ESP,1,1644.41882324,1999-07-29,1999-08-06
82,Oviedo,ESP,1,1641.93774414,1999-07-29,1999-08-06
83,Tenerife,ESP,2,1639.50134277,1999-07-29,1999-08-04
84,Tottenham,ENG,1,1638.80603027,1999-07-29,1999-08-04
85,Lok Moskva,RUS,1,1637.26220703,1999-07-29,1999-08-01
86,Frankfurt,GER,1,1637.1472168,1999-07-29,1999-08-01
87,Anderlecht,BEL,1,1636.85131836,1999-07-29,1999-08-01
88,Reggina,ITA,1,1636.76953125,1999-07-29,1999-08-01
89,Derby,ENG,1,1636.19799805,1999-07-29,1999-08-01
90,Sparta Praha,CZE,1,1635.93493652,1999-07-29,1999-08-01
91,Sheffield Weds,ENG,1,1634.80297852,1999-07-29,1999-08-04
92,Rapid Wien,AUT,1,1634.79003906,1999-08-01,1999-08-04
93,AEK,GRE,1,1634.37341309,1999-08-01,1999-08-07
94,Brugge,BEL,1,1631.35302734,1999-07-29,1999-08-04
95,Extremadura,ESP,2,1630.0657959,1999-07-15,1999-08-11
96,Middlesbrough,ENG,1,1629.0814209,1999-08-01,1999-08-05
97,Rangers,SCO,1,1628.1348877,1999-08-01,1999-08-04
98,Nuernberg,GER,2,1627.8248291,1999-07-29,1999-08-05
99,Muenchen 60,GER,1,1627.81005859,1999-07-29,1999-08-05
100,Coventry,ENG,1,1627.37890625,1999-07-29,1999-08-05
None,Le Havre,FRA,1,1627.06604004,1999-08-01,1999-08-05
None,Newcastle,ENG,1,1626.98937988,1999-07-29,1999-08-07
None,Lecce,ITA,1,1626.93823242,1999-07-15,1999-08-10
None,Freiburg,GER,1,1626.2052002,1999-06-14,1999-08-11
None,Brescia,ITA,2,1625.73132324,1999-06-14,1999-08-11
None,Verona,ITA,1,1625.62487793,1999-07-02,1999-08-11
None,Crvena Zvezda,SCG,1,1624.4777832,1999-08-01,1999-08-04
None,Alaves,ESP,1,1622.96691895,1999-06-21,1999-08-11
None,Everton,ENG,1,1621.63232422,1999-05-27,1999-08-08
None,Benfica,POR,1,1619.42382812,1999-05-31,1999-08-11
None,CSKA Moskva,RUS,1,1619.20483398,1999-07-29,1999-08-04
None,Boavista,POR,1,1618.93896484,1999-05-31,1999-08-11
None,Nancy,FRA,1,1618.85131836,1999-08-01,1999-08-06
None,Karlsruhe,GER,2,1617.6394043,1999-06-18,1999-08-11
None,Southampton,ENG,1,1616.98803711,1999-05-27,1999-08-07
None,Vitesse,NED,1,1611.22937012,1999-05-24,1999-08-11
None,Wisla,POL,1,1609.46972656,1999-08-01,1999-08-04
None,Pescara,ITA,2,1608.49108887,1999-06-14,1999-08-11
None,Brondby,DEN,1,1606.74914551,1999-07-29,1999-08-01
None,Sporting,POR,1,1606.24560547,1999-05-31,1999-08-11
None,Grasshoppers,SUI,1,1605.14855957,1999-08-01,1999-08-08
None,Lorient,FRA,2,1604.15283203,1999-08-01,1999-08-05
None,Willem II,NED,1,1603.0201416,1999-05-24,1999-08-11
None,Villarreal,ESP,2,1598.91015625,1999-07-02,1999-08-11
None,Blackburn,ENG,2,1598.3605957,1999-07-02,1999-08-07
None,Empoli,ITA,2,1597.98217773,1999-07-02,1999-08-11
None,Slavia Praha,CZE,1,1594.94116211,1999-05-31,1999-08-01
None,Celtic,SCO,1,1594.00073242,1999-07-29,1999-08-01
None,Wacker Innsbruck,AUT,1,1592.47619629,1999-07-29,1999-08-03
None,Bochum,GER,2,1590.6529541,1999-07-02,1999-08-11
None,Atletico B,ESP,2,1590.13146973,1999-06-21,1999-08-11
None,Obilic,SCG,1,1589.30578613,1999-08-01,1999-08-04
None,Fenerbahce,TUR,1,1586.0078125,1999-07-29,1999-08-04
None,Genk,BEL,1,1584.29675293,1999-07-29,1999-08-04
None,Sevilla,ESP,1,1583.22314453,1999-07-02,1999-08-11
None,Unterhaching,GER,1,1582.83105469,1999-07-02,1999-08-11
None,Malaga,ESP,1,1581.43237305,1999-07-02,1999-08-11
None,Ipswich,ENG,2,1580.92004395,1999-05-27,1999-08-07
None,Salzburg,AUT,1,1580.4407959,1999-07-29,1999-08-03
None,Lille,FRA,2,1579.29321289,1999-08-01,1999-08-07
None,Salamanca,ESP,2,1576.63745117,1999-07-02,1999-08-11
None,Gladbach,GER,2,1575.27001953,1999-07-02,1999-08-11
None,Genoa,ITA,2,1573.93054199,1999-06-14,1999-08-11
None,Compostela,ESP,2,1573.69958496,1999-06-20,1999-08-11
None,Napoli,ITA,2,1573.69421387,1999-06-14,1999-08-11
None,Hajduk,CRO,1,1573.09643555,1999-08-01,1999-08-04
None,Charlton,ENG,2,1573.09191895,1999-07-02,1999-08-07
None,Birmingham,ENG,2,1571.10803223,1999-05-27,1999-08-07
None,Chievo,ITA,2,1570.38269043,1999-06-14,1999-08-11
None,Sochaux,FRA,2,1570.35705566,1999-08-01,1999-08-07
None,Wimbledon,ENG,1,1568.51269531,1999-05-27,1999-08-07
None,St Pauli,GER,2,1565.99658203,1999-06-18,1999-08-11
None,Servette,SUI,1,1565.48693848,1999-08-01,1999-08-05
None,Rapid Bucuresti,ROM,1,1565.39428711,1999-08-01,1999-08-04
None,Treviso,ITA,2,1564.95996094,1999-06-14,1999-08-11
None,Las Palmas,ESP,2,1564.57299805,1999-06-21,1999-08-11
None,Dynamo Moskva,RUS,1,1564.09484863,1999-07-29,1999-08-04
None,Roda,NED,1,1563.85327148,1999-05-24,1999-08-11
None,Forest,ENG,2,1562.93054199,1999-07-02,1999-08-07
None,Rayo Vallecano,ESP,1,1560.98901367,1999-07-02,1999-08-11
None,Hannover,GER,2,1560.40942383,1999-06-18,1999-08-11
None,Cesena,ITA,2,1555.60449219,1999-06-14,1999-08-11
None,Mouscron,BEL,1,1554.99853516,1999-07-29,1999-08-04
None,Sedan,FRA,1,1553.39770508,1999-08-01,1999-08-06
None,Koeln,GER,2,1553.17224121,1999-06-18,1999-08-11
None,Numancia,ESP,1,1551.61584473,1999-07-02,1999-08-11
None,Merida,ESP,2,1551.32897949,1999-06-20,1999-08-11
None,Zuerich,SUI,1,1549.60888672,1999-08-01,1999-08-07
None,Ravenna,ITA,2,1547.89233398,1999-06-14,1999-08-11
None,Caen,FRA,2,1547.42089844,1999-08-01,1999-08-07
None,Bradford,ENG,1,1546.83679199,1999-07-02,1999-08-07
None,Shakhtar,UKR,1,1546.53039551,1999-07-29,1999-08-01
None,Twente,NED,1,1546.08862305,1999-05-24,1999-08-11
