Rank,Club,Country,Level,Elo,From,To
1,Real Madrid,ESP,1,1924.28979492,2003-06-23,2003-08-12
2,Man United,ENG,1,1918.55163574,2003-06-16,2003-08-13
3,Juventus,ITA,1,1891.71228027,2003-05-29,2003-08-13
4,Barcelona,ESP,1,1866.37524414,2003-06-23,2003-08-12
5,Depor,ESP,1,1862.13293457,2003-06-23,2003-08-12
6,Arsenal,ENG,1,1860.82592773,2003-06-23,2003-08-01
7,Bayern,GER,1,1859.37927246,2003-06-23,2003-08-01
8,Sociedad,ESP,1,1855.59631348,2003-06-23,2003-08-12
9,Valencia,ESP,1,1840.42175293,2003-06-22,2003-08-12
10,Porto,POR,1,1831.33166504,2003-06-22,2003-08-13
11,Inter,ITA,1,1827.27880859,2003-06-22,2003-08-12
12,Milan,ITA,1,1816.39807129,2003-06-23,2003-08-12
13,Celta,ESP,1,1815.95385742,2003-06-23,2003-08-12
14,Lazio,ITA,1,1814.21875,2003-06-01,2003-08-13
15,PSV,NED,1,1811.90991211,2003-05-30,2003-08-12
16,Celtic,SCO,1,1797.33422852,2003-05-26,2003-07-30
17,Dortmund,GER,1,1795.05822754,2003-05-26,2003-08-02
18,Liverpool,ENG,1,1789.12780762,2003-05-25,2003-08-13
19,Ajax,NED,1,1787.13305664,2003-05-30,2003-08-12
20,Roma,ITA,1,1786.70422363,2003-05-30,2003-08-13
21,Bilbao,ESP,1,1781.53186035,2003-06-23,2003-08-12
22,Betis,ESP,1,1773.24536133,2003-06-23,2003-08-12
23,Chelsea,ENG,1,1772.52416992,2003-06-23,2003-08-13
24,Newcastle,ENG,1,1764.37609863,2003-06-23,2003-08-12
25,Feyenoord,NED,1,1764.23596191,2003-06-23,2003-08-12
26,Parma,ITA,1,1762.93566895,2003-06-23,2003-08-12
27,Sevilla,ESP,1,1761.65698242,2003-06-23,2003-08-12
28,Panathinaikos,GRE,1,1760.81335449,2003-06-23,2003-08-13
29,Olympiakos,GRE,1,1759.36938477,2003-06-23,2003-08-12
30,Mallorca,ESP,1,1757.28857422,2003-06-22,2003-08-12
31,Malaga,ESP,1,1753.54504395,2003-06-22,2003-08-12
32,Espanyol,ESP,1,1741.34667969,2003-06-22,2003-08-12
33,AEK,GRE,1,1735.42956543,2003-06-23,2003-08-13
34,Valladolid,ESP,1,1732.25085449,2003-06-23,2003-08-12
35,Osasuna,ESP,1,1731.06225586,2003-06-23,2003-08-03
36,Lyon,FRA,1,1726.53979492,2003-06-23,2003-07-26
37,Blackburn,ENG,1,1724.33361816,2003-06-23,2003-07-22
38,Monaco,FRA,1,1723.21289062,2003-06-23,2003-07-22
39,Villarreal,ESP,1,1721.7791748,2003-06-23,2003-07-22
40,Stuttgart,GER,1,1721.20849609,2003-06-22,2003-07-22
41,Basel,SUI,1,1720.66699219,2003-07-17,2003-07-22
